time,x,y,angular_z
17.42,2.5557255742140756,-4.252452254271721,-0.40431584017497313
17.44,2.54218334503258,-4.267169789886028,-0.4043223615570574
17.46,2.528522547248122,-4.281777336893785,-0.4043287537719799
17.48,2.5147440722938503,-4.296273938342284,-0.4043350193772297
17.5,2.500848819377011,-4.3106586445238815,-0.40434116088051125
17.52,2.4868376954188913,-4.324930513039153,-0.40434718073871856
17.54,2.4727116149942847,-4.339088608859528,-0.4043530813611126
17.56,2.458471500270463,-4.353132004389441,-0.40435886510893215
17.58,2.444118280945669,-4.367059779527936,-0.40436453429667446
17.6,2.4296528941871283,-4.380871021729785,-0.40437009119335776
17.62,2.415076284568591,-4.394564826066065,-0.4043755380220774
17.64,2.400389404007394,-4.4081402952842295,-0.4043808769629192
17.66,2.3855932117010705,-4.4215965398676325,-0.40438611015247977
17.68,2.370688674063495,-4.434932678094532,-0.40439123968539653
17.7,2.3556767646605574,-4.44814783609657,-0.4043962676140008
17.72,2.340558464145394,-4.4612411479167005,-0.404401195950491
17.74,2.325334760193169,-4.474211755566583,-0.4044060266673966
17.76,2.3100066474354137,-4.487058809083431,-0.40441076169836815
17.78,2.2945751273939052,-4.499781466586328,-0.40441540293776684
17.8,2.2790412084141316,-4.512378894331972,-0.4044199522436173
17.82,2.2634059055983204,-4.524850266769871,-0.4044244114366615
17.84,2.2476702407380116,-4.53719476659701,-0.404428782301086
17.86,2.231835242246244,-4.549411584811922,-0.4044330665869238
17.88,2.2159019450893025,-4.56149992076821,-0.40443726600873237
17.9,2.199871390718017,-4.573458982227543,-0.4044413822472907
17.92,2.183744626998744,-4.585287985411999,-0.40444541695042574
17.94,2.167522708143853,-4.596986155055904,-0.4044493717319962
17.96,2.1512066946418367,-4.608552724457088,-0.40445324817574246
17.98,2.134797653187036,-4.619986935527541,-0.4044570478327129
18.02,2.1017047838011425,-4.642455293695062,-0.40446442284021783
18.04,2.0850231196495397,-4.653487968135077,-0.404468001151601
18.06,2.0682527549614287,-4.664385339027139,-0.40447150857382524
18.08,2.051394786392456,-4.675146692093738,-0.40447494651787874
18.1,2.0344503163742744,-4.685771321963293,-0.4044783163607117
18.12,2.0174204530416073,-4.696258532216706,-0.40448161945101124
18.14,2.000306310158947,-4.70660763543329,-0.4044848571102483
18.16,1.983109007046884,-4.716817953236138,-0.40448803063523153
18.18,1.9658296685080943,-4.7268888163368645,-0.40449114129575586
18.2,1.9484694247529777,-4.736819564579745,-0.4044941903373053
18.22,1.9310294113249442,-4.746609546985252,-0.40449717897986254
18.24,1.913510769025376,-4.756258121792966,-0.4045001084202532
18.26,1.8959146438382457,-4.765764656503881,-0.40450297983076916
18.28,1.8782421868544108,-4.775128527922093,-0.4045057943613235
